"cell_id","X","Y","cluster","Pseudotime","paper_state","Zone","SOX2","EOMES","MYT1L"
"SRR2967100",-68.2712444359991,32.1246294488217,"4",96.5795612147974,"AP2","VZ",3.05553407163694,0,0
"SRR2967103",-68.4854842870239,-28.2733017512535,"3",207.468990519273,"BP1","iSVZ",1.00465958563459,0,0
"SRR2967104",-104.765757507312,-8.13181553626195,"3",46.3286466177279,"AP1","VZ",3.20843141970615,0,0
"SRR2967111",-95.5219892984922,-8.41690499270016,"3",54.2820875821399,"AP1","VZ",4.28326248483757,0,0.29313972872319
"SRR2967113",-38.783541493031,-37.229300406394,"3",193.593462146997,"BP1","iSVZ",0,0,0
"SRR2967114",-86.9120200042215,-32.5773412396685,"3",220.083237463219,"BP2","iSVZ",4.4394236728416,1.38707022209029,0
"SRR2967115",-76.191785605392,-12.0291754796782,"3",200.619790797188,"BP1","iSVZ",4.92547729627676,0,0
"SRR2967116",-89.0748903055224,11.9566703173845,"3",69.7850643688238,"AP1","VZ",4.46783375497769,0,0
"SRR2967119",-87.0188738522685,-1.72463387161669,"3",65.0131904098585,"AP1","VZ",1.00494716556465,0,0.716086595299354
"SRR2967120",-149.014118340918,-24.0443312054005,"3",0,"AP1","VZ",2.87611809369183,0,0
"SRR2967121",-8.24860806510876,26.3282841631067,"1",139.04259405022,"BP1","iSVZ",0,0,0.41269482556661
"SRR2967122",-123.563827057048,-6.96414310115785,"3",30.5531123848908,"AP1","VZ",2.89947148799919,0,0.195845210783651
"SRR2967123",-122.428436593456,0.477284380675288,"3",35.2004189692392,"AP1","VZ",0.258569576437978,0,0.042734818163002
"SRR2967124",-96.9864164501233,-0.657234320070571,"3",56.7779452557749,"AP1","VZ",2.1195719840917,0,0
"SRR2967125",-5.94349879741103,-3.53850858549328,"1",151.600731724152,"BP1","iSVZ",5.62385808488505,8.05495155396071,0.425235846977779
"SRR2967127",-88.0960480106766,-32.5424317958937,"3",220.287927696373,"BP2","iSVZ",2.27919491358272,2.52929373565811,3.92558173585055
"SRR2967128",-86.4963910068672,11.5505452593333,"3",71.8500420687491,"AP1","VZ",2.09230893746096,0,0
"SRR2967129",-102.926425288892,4.15466883659823,"3",53.9261251769575,"AP1","VZ",4.74913197319041,0.186994893915039,0
"SRR2967132",-62.7794846198195,-3.14307918164256,"3",186.385573425724,"BP1","iSVZ",4.55722626442917,0,0.247199604090595
"SRR2967133",-38.4779216204816,16.1045274965935,"1",121.275562704945,"AP2","VZ",1.57807887627211,0,0
"SRR2967135",-109.32756671141,-27.312606630081,"3",32.7669072673114,"AP1","VZ",3.73159600188456,0,0
"SRR2967136",-81.0328844784666,4.16435337601146,"3",73.1578350917645,"AP1","VZ",5.47303030473558,0,0.163221759774586
"SRR2967137",-108.476396442365,-6.09243452989553,"3",44.0855600315361,"AP1","VZ",4.45079555581761,0,0.262730205560434
"SRR2967138",-27.6541604925994,16.0484468469195,"1",146.010248346351,"BP1","iSVZ",5.89349812448656,0,0
"SRR2967139",-66.45059024909,11.1271707799224,"3",89.6305643932109,"AP1","VZ",5.25929132105357,0,0
"SRR2967141",-132.115840303923,-25.4072116080988,"3",13.8636247735617,"AP1","VZ",4.76798312758651,0,0
"SRR2967145",-95.2056253809571,-34.7744110736388,"3",224.672709013356,"BP2","iSVZ",0.535562300519628,0,6.62574098376052
"SRR2967146",-72.2845229165588,-23.7589647478934,"5",206.317879458785,"BP1","iSVZ",2.0164036078934,0,0.221853577172156
"SRR2967148",-40.9815275633176,-4.13461484579268,"3",171.312728150356,"BP1","iSVZ",0,0,0
"SRR2967152",-76.3723639063081,-29.7480160887372,"3",212.931288270518,"BP2","iSVZ",2.22938488527137,0,0
