"to","from","x_from","y_from","x_to","y_to"
"2","1",-4.80179328197287,-27.0363867172655,46.1174449404828,32.2832336287954
"4","1",-4.80179328197287,-27.0363867172655,-38.5038891983332,-32.8706046477907
"5","3",-97.1739097719813,12.7404161406299,-63.3972405812493,13.4759171954554
"5","4",-38.5038891983332,-32.8706046477907,-63.3972405812493,13.4759171954554
"6","2",46.1174449404828,32.2832336287954,75.7027680787822,-21.8913977538537
