"cell_id","X","Y","cluster","Pseudotime","paper_state","Zone","PAX6","EOMES","MYT1L"
"SRR2967515",-1.6487965906571,13.506331477579,"4",229.785519199338,"N1","oSVZ",1.84824534930781,1.5172202523349,7.04202046453995
"SRR2967520",-29.4417198910034,-38.4363172071129,"5",93.4119249009385,"AP1","VZ",8.23399827461442,0,0
"SRR2967523",-18.7672076389959,62.3760796510907,"3",269.556094784843,"N3","CP",1.4188537858022,0,9.03540396994207
"SRR2967525",2.53848722700632,20.3887492105451,"3",280.565725118026,"N3","CP",7.6582829015306,0,8.77623890534259
"SRR2967527",-53.7526638374973,-28.9303896238296,"5",97.7276421083992,"AP2","VZ",6.64724110639582,0,0
"SRR2967528",-1.81208552630544,4.04012180030911,"4",232.447245580139,"N2","CP",0,0,7.35319976746396
"SRR2967531",-12.3833212986026,29.8543263111517,"3",267.288210522334,"N3","CP",0,0.425674135387581,2.10698810969874
"SRR2967539",7.83788536005165,-22.9095396345716,"6",187.019993449964,"BP1","iSVZ",0,7.86832871367108,4.37391264639229
"SRR2967550",4.00237271523825,33.8577400401107,"3",271.255658501609,"N3","CP",0.503171631572836,0,6.26754328867775
"SRR2967551",3.70344947323849,9.62677041360326,"3",290.729900037644,"N3","CP",3.41102348234273,4.92631734591663,8.37549128914474
"SRR2967554",30.9640863890186,1.44281036454011,"6",190.487882560853,"BP1","iSVZ",0,0,5.89497051116694
"SRR2967557",-54.1747293078623,-25.3932661540807,"5",100.445749832224,"AP2","VZ",2.06087055746218,0,0
"SRR2967558",10.6338635757957,17.1235482680395,"3",287.817972358981,"N3","CP",2.39316630207142,0,7.1283243367852
"SRR2967559",-7.77933353121479,23.5543774136674,"3",273.955668230859,"N3","CP",0,2.53140641502552,7.98361499720167
"SRR2967561",-94.5415917172228,-9.52038693190111,"1",24.6225016934339,"AP1","VZ",6.08070669026918,0,0
"SRR2967563",-2.34527610113103,4.39476776087771,"3",293.825051004317,"N3","CP",0.798206495791661,7.00481596433226,3.57473126266284
"SRR2967565",28.8181400029176,-7.38696469444585,"4",229.852870429122,"N1","CP",0,0,8.76678065430965
"SRR2967567",-8.91964563099113,50.4464586761498,"3",257.097984678852,"N2","CP",1.45093408778932,0,7.34030411318018
"SRR2967571",-78.4216696896379,0.48860436540924,"1",28.448146342221,"AP1","VZ",5.30504757201867,0,0
"SRR2967608",53.2935910288183,-14.5169091926122,"2",259.76609768748,"N2","CP",3.44830763312097,0,5.80300224372846
"SRR2967609",37.1060453708902,19.6225026013994,"2",223.211948151473,"N1","oSVZ",0,0,1.83789077929931
"SRR2967610",32.1670111625376,23.0772358671749,"2",219.608608460209,"BP2","oSVZ",0.813962151533372,0,8.27413117906091
"SRR2967611",-9.83261312015514,-65.7102256414323,"5",122.782987612685,"AP2","iSVZ",0,0,0
"SRR2967612",9.77148269630267,48.6411084935312,"4",241.469471436756,"N2","CP",0,0,7.66156434933973
"SRR2967613",26.3304412495398,9.95170649938754,"4",213.025263280781,"BP2","oSVZ",2.68072267474218,0,8.34224804773953
"SRR2967614",28.0336562593099,13.3563805851675,"4",212.431134702031,"BP2","iSVZ",0,0,6.62157718992597
"SRR2967615",22.0379033578686,36.7448409442173,"4",227.394269175459,"N1","oSVZ",1.04664471597092,0,7.08614684279903
"SRR2967616",37.9966057822305,10.8706003885224,"2",230.138281933663,"N1","CP",0,0,9.91020498411519
