"cell_id","X","Y","cluster","Pseudotime","paper_state","Zone","PAX6","EOMES","MYT1L"
"SRR2967279",-132.797312672082,15.7377227585793,"1",32.829600907742,"AP1","VZ",8.59361894790245,0,0
"SRR2967281",-107.731881168908,-3.41464057539515,"1",62.0277310022324,"AP1","VZ",7.23519092704256,0,0
"SRR2967283",-129.249814587602,25.4198660459972,"1",27.0426803119122,"AP1","VZ",7.97206650795775,0,3.44154456441967
"SRR2967301",12.9413502768575,-54.9070936191322,"6",187.099787884478,"BP1","iSVZ",7.81722032098365,0,4.55426344120586
"SRR2967307",-84.1254825967825,51.7854148077894,"1",30.9938914014744,"AP1","VZ",7.85931114355317,0,4.84668887138114
"SRR2967313",-107.563406053902,56.856118884823,"1",12.8226868831995,"AP1","VZ",7.79609802949333,3.55812066272863,6.92231679921813
"SRR2967319",18.6215996459411,6.78877930675273,"2",253.087399955109,"BP2","oSVZ",0,0,9.63151904123023
"SRR2967332",-100.418406194235,-11.8570907350393,"1",72.5380104680986,"AP1","VZ",6.67561836550752,0,1.05981210486304
"SRR2967334",-116.521885725031,21.1728443430776,"1",37.7384268368634,"AP1","VZ",7.80090636939029,0,0
"SRR2967337",-95.4132104017702,19.5400957523582,"1",52.5169635076393,"AP1","VZ",7.33083622831154,5.64528086879952,1.50023097946419
"SRR2967350",-95.8253955699324,79.7915218479666,"1",0,"AP1","VZ",4.6564963705535,0,8.37439615884164
"SRR2967353",7.94371831328822,13.2089498540653,"3",323.145917022888,"N2","CP",0,0,7.71171514862302
"SRR2967359",-3.51200756868191,0.707741151485085,"3",323.145917022888,"N2","CP",0,1.97905220437771,5.38071559767822
"SRR2967376",-2.98617268166895,32.7066330671201,"3",323.145917022888,"N2","CP",1.32218198687272,0,7.00922398607117
"SRR2967377",1.71104821429794,46.007587581251,"3",323.145917022888,"N2","CP",0,0,7.04643649099447
"SRR2967385",-55.0143748137978,-22.1230566796177,"5",115.947203664108,"AP1","VZ",8.09094867565922,0,0.0486620945350443
"SRR2967389",9.69219245683807,38.1532311175027,"3",323.145917022888,"N2","CP",0,0,7.62993212602535
"SRR2967395",-22.1376940012682,56.6113825323919,"3",323.145917022888,"N3","CP",4.01251504072025,0,6.28093033914948
"SRR2967402",-11.0974122976024,21.2523930096476,"3",323.145917022888,"N3","CP",0.314824115153516,0,8.17976978859633
"SRR2967409",6.89632818693028,39.4866726994059,"3",323.145917022888,"N3","CP",0.324171183700106,0,0.45143322030669
"SRR2967417",0.90522928055208,19.3970715134619,"3",323.145917022888,"N3","CP",1.09144935038035,0,7.49329507050358
"SRR2967418",-20.229903406065,30.2600342283253,"3",323.145917022888,"N3","CP",1.51733617173403,0,1.86465961766763
"SRR2967433",-65.1064687016703,-34.7001778914813,"5",112.59262624295,"AP1","VZ",8.38923122224195,0,0
"SRR2967435",-45.0659533413507,108.388037928554,"3",323.145917022888,"N3","CP",0,0,5.08488490440721
"SRR2967441",-51.780015469385,122.471234374805,"3",323.145917022888,"N3","CP",0.541122269918606,0,9.20914627285415
"SRR2967442",-104.779208279782,-3.68204308607831,"1",64.0912733593023,"AP1","VZ",6.16695640953691,0,0.930967393602147
"SRR2967443",-30.0895789346182,98.7657332851472,"3",323.145917022888,"N3","CP",0.833230146370899,0.241649845067328,5.77947248381303
"SRR2967444",-129.681144395045,7.4544432124998,"1",40.879151023925,"AP1","VZ",7.63695806930171,0,0
"SRR2967447",-80.3216790265216,-19.6516850651189,"1",92.3130552950437,"AP1","VZ",6.01155154576552,0,1.94970673889513
"SRR2967449",-46.9493482747392,-21.6226134775257,"5",123.565105137289,"AP2","VZ",8.20221199944052,0,6.09019924346878
"SRR2967450",-121.467214946129,0.30215068510576,"1",50.8347014693015,"AP1","VZ",9.36012500743444,0,0
"SRR2967451",-18.8114383141439,37.204347452365,"3",323.145917022888,"N3","CP",5.32745743429415,0.443899403999735,8.63075491923525
