"cell_id","X","Y","cluster","Pseudotime","paper_state","Zone","SOX2","EOMES","MYT1L"
"SRR2967228",-59.9502157410749,-12.205679369251,"3",131.203132267984,"N1","oSVZ",1.54290680705426,0,0.340954150324367
"SRR2967232",-124.180185701767,11.7967260269317,"3",113.416170217472,"BP2","iSVZ",4.01512285962977,0.86711996655452,0.532962224649056
"SRR2967235",-24.0485727638765,19.9852118056245,"1",85.0115144041037,"BP1","iSVZ",0,0,5.25121538672977
"SRR2967238",-115.111547931527,4.13575396688653,"3",106.28811110695,"BP1","iSVZ",3.95299511588319,0,0
"SRR2967240",-129.175718660624,20.602141223453,"3",119.346749587016,"BP2","oSVZ",3.09844145540845,0,0
"SRR2967241",-97.8906231208578,40.6892204769056,"3",114.351403914721,"BP2","iSVZ",3.95841583415186,0,0.197379799365687
"SRR2967242",-126.073127611145,1.12537398315925,"3",117.539422381299,"BP2","oSVZ",4.01294404716608,0,0
"SRR2967243",-124.853512895771,15.9031454093186,"3",114.253118668853,"BP2","iSVZ",3.53686108053547,0,0
"SRR2967246",-79.2803934446798,-10.336187411309,"3",115.594568257395,"BP2","iSVZ",0.632706542043761,0,0.275899811367671
"SRR2967247",-68.1595381424938,70.1851231207813,"3",150.749670842103,"N2","CP",0.45800185538254,0,7.24989089968753
"SRR2967250",-116.318890820921,9.51332643135569,"3",105.808467667157,"BP1","iSVZ",3.82910874563922,0,0
"SRR2967251",-94.8978475200559,10.0623374135475,"3",89.9080330717899,"BP1","iSVZ",2.70339975311323,0,0.145562687093071
"SRR2967254",-102.313826595569,-2.38120249518688,"3",102.364701178154,"BP1","iSVZ",3.04023842429009,0,0
"SRR2967257",-94.8661886025302,-10.3696867550814,"3",109.618450384638,"BP2","iSVZ",3.59824608753958,0,0.244867579565314
"SRR2967258",-114.55768279632,22.9706676549102,"3",106.564024013537,"BP2","iSVZ",0,0,0
"SRR2967260",-115.12304566239,9.17472404750398,"3",104.693292319628,"BP1","iSVZ",2.28018429514379,0,0.993980800014438
"SRR2967261",-86.3964463810593,5.07198782812533,"3",99.6205997493999,"BP1","iSVZ",3.136914849666,0,0.177581070923152
"SRR2967269",-73.661447101735,-17.6273705189772,"3",124.799639701804,"BP2","oSVZ",2.97630314026322,0,0
"SRR2967270",-78.8306184229374,-10.1978474689802,"3",115.764149877661,"BP2","oSVZ",0,0,0
"SRR2967271",-17.4254046592563,-10.9215399834443,"1",54.6739137247603,"AP2","VZ",0,0,0
"SRR2967273",-132.463689021723,7.39269711152448,"3",122.086080435915,"BP2","oSVZ",3.9327982092834,0,0
"SRR2967274",3.79317328194722,24.6118607534686,"2",155.393868356621,"N2","CP",0,6.39687873879685,5.26265865507222
"SRR2967275",-135.060142459312,30.3361805219328,"3",128.166339915747,"N1","oSVZ",4.36357060205314,0,0.0430177089906451
"SRR2967276",-100.42656955955,-0.927501938616204,"3",100.443029975762,"BP1","iSVZ",3.34666761242992,0,0
"SRR2967279",-84.9530458317738,-17.0769696872523,"4",49.0608097897358,"AP2","VZ",3.08299035036296,0,0
"SRR2967280",-42.8095724013962,-6.44094368762162,"5",81.2536899799173,"BP1","iSVZ",0,0,0
"SRR2967281",-60.326076568884,-29.9383180888564,"4",22.0183143337343,"AP1","VZ",4.56409765113484,0,0
"SRR2967283",-83.5112058696043,-8.28974763299274,"4",51.2823272242009,"AP2","VZ",2.30762378585216,0,3.44154456441967
"SRR2967284",-101.7738369931,-2.04569090884137,"5",94.0053954362792,"BP1","iSVZ",0,0,0.327732196233716
"SRR2967286",-113.853967975771,-0.879669369994605,"3",107.927827430448,"BP2","iSVZ",3.70353264588842,0,0
"SRR2967287",-66.1889000504516,18.7645878018481,"5",58.588986080254,"AP2","VZ",0,0,0
"SRR2967289",-41.5913538050818,7.43370115002147,"5",75.236264394219,"BP1","iSVZ",0,0,0
"SRR2967290",-33.1135310518268,-2.51887447268933,"5",86.8568947174532,"BP1","iSVZ",0,0,0
"SRR2967292",33.9552156590139,19.0155146890333,"2",130.378659463607,"N1","oSVZ",0,0,6.34569619599333
"SRR2967293",-76.8058543361326,-11.7134075218936,"5",81.1445549419564,"BP1","iSVZ",0,0,0
"SRR2967294",-93.8613835829858,4.69653738183227,"5",84.3127022260359,"BP1","iSVZ",1.05575096411845,0,0
"SRR2967295",-37.1217786894954,-31.5640940803656,"4",1.90189361464661,"AP1","VZ",0,0,0
"SRR2967298",-75.6636397837215,18.7041363209519,"5",65.9428578681636,"BP1","iSVZ",0,0,0.139728803207072
"SRR2967300",-78.5608192562074,25.0810167085689,"5",71.7035632124006,"BP1","iSVZ",0,0,0.658503077657282
"SRR2967301",60.5520681953354,-43.7233781353424,"6",200.680689680936,"N3","CP",1.30103153120334,0,4.55426344120586
"SRR2967304",-79.3514399805338,32.5579937406607,"5",77.4816547874996,"BP1","iSVZ",4.00630700143959,0,0
"SRR2967305",-49.1265481452556,12.7919083472298,"4",46.8818299144033,"AP2","VZ",0.989054696277637,0,5.78933540342196
"SRR2967306",-65.537609123158,-15.0244298120032,"5",81.1893398621059,"BP1","iSVZ",0,0,0
