"to","from","x_from","y_from","x_to","y_to"
"4","2",32.3194821753736,21.5339735102044,22.0013127850302,15.4095562625359
"4","3",-11.8725191556325,45.6601754037049,22.0013127850302,15.4095562625359
"5","1",-103.830445706321,13.2827878736467,-41.2259541357516,-39.0714443856907
"6","4",22.0013127850302,15.4095562625359,35.2850956164446,-30.105329557406
"6","5",-41.2259541357516,-39.0714443856907,35.2850956164446,-30.105329557406
