"cell_id","Component_1","Component_2","State","Pseudotime","stage_group","paper_like_label","PAX6","EOMES","MYT1L","Zone"
"SRR2967214",-19.723055607299,-1.2980173410432,"5",39.8507324001929,"N_like","N1",5.63785075262826,0,0,"CP"
"SRR2967215",-18.5734612496392,-2.14137840065768,"5",38.9850306862747,"N_like","N1",0,0,2.87600608068978,"CP"
"SRR2967216",-15.4640401496049,-0.118006052761633,"5",35.4413987389761,"N_like","N1",7.00648878459005,0,0.203222459799448,"CP"
"SRR2967217",-9.09531498437325,1.84927509964556,"4",28.635986110944,"N_like","BP1",0,0,0.210962337071888,"oSVZ"
"SRR2967218",7.67149372399195,5.30415592351709,"3",13.9297218866685,"BP_like","BP2",0,0,0.290420864952437,"iSVZ"
"SRR2967219",-19.2867214610046,-1.72252523244989,"5",39.551560529486,"N_like","N1",1.57838809009031,0,0.191643499996258,"CP"
"SRR2967220",-19.438558966819,-1.46288030298728,"5",39.624150435644,"N_like","N1",1.46390490031267,0,0,"CP"
"SRR2967221",-19.2045616090713,-1.40192353724491,"5",39.3824236519018,"N_like","N1",7.14815114465578,1.25337213260299,0,"CP"
"SRR2967222",-7.39859136669828,1.70077613781897,"4",27.0480702911504,"N_like","BP1",0.936564448011967,0,0.00893483080041262,"oSVZ"
"SRR2967223",-19.0752086187946,-1.20290959437043,"5",39.2022367895677,"N_like","N1",2.31918147605628,0,0,"CP"
"SRR2967224",-19.0747442788746,-1.48092654583678,"5",39.2800852944799,"N_like","N1",7.10156603968603,0,0,"CP"
"SRR2967225",-19.8218856413234,-1.77188072042567,"5",40.0790273773443,"N_like","N1",4.50819410044115,0,0,"CP"
"SRR2967226",-19.2156197835475,-1.38356625424293,"5",39.3878662807061,"N_like","N1",7.9950095724344,0,0,"CP"
"SRR2967227",-18.8796722015192,-2.34205765621945,"5",39.3354099184004,"N_like","N1",1.558282330365,0,4.2729637704532,"CP"
"SRR2967228",-10.1510235726004,1.29346208611754,"4",29.7978305696506,"N_like","BP1",7.12279694094791,0,0.340954150324367,"oSVZ"
"SRR2967229",-19.3264185068341,-1.3813992781361,"5",39.4935872548008,"N_like","N1",0.983282951436351,0,0,"CP"
"SRR2967230",-19.2476308889384,-1.64234188155581,"5",39.4914664855433,"N_like","N1",6.5425428455686,0,0,"CP"
"SRR2967231",-20.2254791682588,-1.8495536444024,"5",40.4881871466213,"N_like","N1",4.16509190149813,0,0.0885178971165033,"CP"
"SRR2967232",-19.7905088551672,-1.52750921214466,"5",39.980090698459,"N_like","N1",7.59399608744652,0.86711996655452,0.532962224649056,"CP"
"SRR2967233",-19.1011512619412,-1.23012185071517,"5",39.2347949073119,"N_like","N1",5.59720040696311,0,0,"CP"
"SRR2967234",-20.0678189132841,-1.61437941950992,"5",40.2706708341583,"N_like","N1",2.37688490015104,0,0.0772684339004376,"CP"
"SRR2967235",-1.72641160265766,2.13785445309074,"4",21.3579674092106,"BP_like","BP1",3.38040114816776,0,5.25121538672977,"oSVZ"
"SRR2967236",-19.5168118390182,-1.62163450823866,"5",39.7439508068807,"N_like","N1",4.37061766759703,0,0.57222320762058,"CP"
"SRR2967237",-19.3576377139731,-1.37315226630859,"5",39.5212245369853,"N_like","N1",0,0,0.107030707640664,"CP"
"SRR2967238",-19.6113770983002,-1.44557581749715,"5",39.7851160178262,"N_like","N1",6.3004294409972,0,0,"CP"
"SRR2967239",-8.21798642318759,1.55956046795859,"4",27.8765627120491,"N_like","BP1",6.33968613191923,0,0,"oSVZ"
"SRR2967240",-19.9809862643323,-1.67634605626309,"5",40.2047976990439,"N_like","N1",5.96195664678483,0,0,"CP"
"SRR2967241",-19.1442996998348,-1.92989323885633,"5",39.4732869588111,"N_like","N1",4.9814097327147,0,0.197379799365687,"CP"
"SRR2967242",-20.0747706148864,-1.51647451375829,"5",40.2497705671567,"N_like","N1",0.728101623907977,0,0,"CP"
"SRR2967243",-19.8463527738985,-1.45241986038862,"5",40.0125338269304,"N_like","N1",0.222009438023132,0,0,"CP"
"SRR2967244",-19.7922925619753,-1.5445448142162,"5",39.9866005830091,"N_like","N1",4.00183826453236,0,0,"CP"
